
param Vnom := 13.8;
param Barra_SE := 0;



param : Ob :          PD           QD         QC      Vini :=   
             139        141      92      0.084420   0.194880     1000
             141        142      93      0.133200   0.307480     1000
             142        143      94      0.293200   0.292760     1000
             143        144      95      0.217530   0.217210     1000
             144        145      96      0.264820   0.264430     1000
             142        146      97      0.103180   0.238190     1000
             146        147      98      0.135070   0.311810     1000
               0        148      99      0.009380   0.021650     1000
             148        149     100      0.168840   0.389760     1000
             149        150     101      0.118190   0.272830     1000
             150        152     102      2.286080   0.784140     1000
             150        153     103      0.455870   1.052360     1000
             153        154     104      0.696000   1.606690     1000
             154        155     105      0.457740   1.056690     1000
             155        156     106      0.202980   0.263730     1000
             156        157     107      0.213480   0.277370     1000
             157        158     108      0.549670   0.289140     1000
             158        159     109      0.540190   0.284150     1000
             157        160     110      0.045500   0.059110     1000
             160        162     111      0.473850   0.249260     1000
             162        163     112      0.862410   0.453640     1000
             163        164     113      0.568620   0.299110     1000
             158        200     114      0.777110   0.408780     1000
             200        201     115      1.080380   0.568300     1000
             159        202     116      1.099330   0.578270     1000
             202        203     117      0.473850   0.249260     1000
             154        204     118      0.322670   0.744880     1000
             204        205     119      0.146330   0.337790     1000
             205        206     120      0.123820   0.285830     1000
               0        207     121      0.011260   0.025980     1000
             207        208     122      0.649100   1.498420     1000
             208        209     123      0.045020   0.103940     1000
             209        210     124      0.526400   0.180560     1000
             209        211     125      0.020640   0.047640     1000
             211        212     126      0.530710   0.279170     1000
             211        214     127      0.097550   0.225200     1000
             214        215     128      0.118190   0.272830     1000
             214        217     129      0.138820   0.320470     1000
             217        218     130      0.043150   0.099610     1000
             218        219     131      0.091920   0.212200     1000
             219        220     132      0.161340   0.372440     1000
             220        221     133      0.378320   0.377750     1000
             221        222     134      0.397240   0.396640     1000
             222        223     135      0.293200   0.292760     1000       
                                     
              7         86      136       0.13132    0.30315     1000
             10         32	    137       0.26536    0.13958     1000
             20        130	    138       0.14187	 0.14166     1000
             46        223	    139       0.08512	 0.08499     1000
             33         61	    140       0.04502	 0.10394     1000
             59        145	    141       0.14187	 0.14166     1000
             65        147	    142       0.14187	 0.14166     1000
             73        206	    143       0.03940	 0.09094     1000
             78        125	    144       0.12944	 0.29882     1000
            125        219	    145       0.01688	 0.03898     1000
            131        223	    146       0.33170	 0.17448     1000     
            139        154	    147       0.14187	 0.14166     1000     
            138        217	    148       0.07692	 0.17756     1000     
            138        153	    149       0.07692	 0.17756     1000     
            141        154	    150       0.07692	 0.17756     1000     
            141        220	    151       0.07692	 0.17756     1000     
            145        206      152       0.26482	 0.26443     1000     
            160         56	    153       0.49696	 0.64567     1000     
            212        122	    154       0.17059    0.08973     1000     
            215        123	    155       0.05253    0.12126     1000     
            223        147	    156       0.29320    0.29276     1000
             ;   
   
#--------------------------------------------------------------------------------  
#fixar a magnitude de tensao da subestaçaoao no valor nominal
fix  { i in Ob: i == Barra_SE}
      Vsqr[i] := Vnom^2;

#--------------------------------------------------------------------------------
#fixar a injecao de potencia ativa no no de carga igual a zero
    fix  {i in Ob: i != Barra_SE }
   PS[i] := 0;

#--------------------------------------------------------------------------------
#fixar a injecao de potencia reativa no no de carga igual a zero
    fix  {i in Ob: i != Barra_SE }
   QS[i] := 0;

#--------------------------------------------------------------------------------
#normalizacao e calculo da impedancia ao quadrado

for {(i,j) in Ol} {
let R[i,j] := R[i,j] / 1000;
let X[i,j] := X[i,j] / 1000;
let Z2[i,j] := (R[i,j])^2 + (X[i,j])^2 ;
};

#--------------------------------------------------------------------------------

let Vmax   := Vnom * 1.0;
let Vmin   := Vnom * 0.9581;


# Linearizacao
for{(i,j) in Ol}{
let DS[i,j] := (Vmax * Imax[i,j]) / Y;

for {y in 1..Y}{
let ms[i,j,y] := (2*y-1)*DS[i,j];
}
let ms[i,j,1] := ms[i,j,1] * 5/6;
}
